chars,trim_by,url,title,current_description
258,98,https://patrickbrookslaw.com/domestic-violence/,Memphis Domestic Assault Defense Lawyer,Charged with domestic assault in Memphis? Patrick Brooks has personally defended hundreds of domestic violence cases in the Shelby County DV courtroom — and handles the divorce & custody fallout under one roof. Free confidential consultation: (901) 324-5000.
252,92,https://patrickbrookslaw.com/dui/,"Memphis DUI Lawyer — DUI Defense in Shelby County, Tennessee","Arrested for DUI in Memphis? Patrick Brooks, member of the National College for DUI Defense, handles every DUI case personally — first offense through felony DUI, breath & blood test challenges, license reinstatement. Free consultation: (901) 324-5000."
243,83,https://patrickbrookslaw.com/electronic-monitoring/,Electronic Monitoring,"Tennessee GPS and electronic monitoring: which offenses require it, the 2024 mandatory domestic-violence GPS bond law, victim notification, costs, indigency, sex-offender and DUI monitoring, and violation defense. Memphis. Call (901) 324-5000."
237,77,https://patrickbrookslaw.com/selling-alcohol-to-a-minor/,Selling or Furnishing Alcohol to a Minor in Tennessee,"Charged with selling or furnishing alcohol to a minor in Memphis? Brooks Law Firm explains Tennessee penalties, the statutory ID defenses, the Responsible Vendor Program, and the beer-board and ABC licensing process. Call (901) 324-5000."
234,74,https://patrickbrookslaw.com/sexual-offenses/,"Sexual Offenses: Sentencing, Registry & Defense in Tennessee","Tennessee sexual offense classes and sentence ranges, mandatory service percentages, case law, the sex offender registry, diversion-eligible offenses, and registry removal, explained by Brooks Law Firm in Memphis. Call (901) 324-5000."
224,64,https://patrickbrookslaw.com/speeding-tickets/,Speeding Tickets,"Memphis speeding ticket defense attorney. Brooks Law Firm contests speeding citations under T.C.A. 55-8-152, challenges radar and lidar evidence, and protects your license and insurance in Shelby County. Call (901) 412-2973."
222,62,https://patrickbrookslaw.com/public-intoxication/,"Public Intoxication Defense in Memphis, Tennessee","Charged with public intoxication in Memphis? Brooks Law Firm explains why intoxication alone isn't a crime under T.C.A. 39-17-310, the elements, penalties, defenses, and how to keep it off your record. Call (901) 324-5000."
221,61,https://patrickbrookslaw.com/drug-conspiracy/,"Drug Conspiracy Defense in Memphis, Tennessee","Charged with drug conspiracy in Memphis or the Western District of Tennessee? Brooks Law Firm explains 21 U.S.C. 846 mandatory minimums, Tennessee conspiracy law, the evidence, case law, and defenses. Call (901) 324-5000."
217,57,https://patrickbrookslaw.com/order-of-protection/,"Orders of Protection in Memphis, Tennessee","Seeking or facing an order of protection in Memphis? Brooks Law Firm explains the Tennessee process, the evidence the court requires, controlling case law, and how to appeal under T.C.A. 36-3-601. Call (901) 324-5000."
216,56,https://patrickbrookslaw.com/disorderly-conduct/,"Disorderly Conduct Defense in Memphis, Tennessee","Charged with disorderly conduct in Memphis or Shelby County? Brooks Law Firm explains Tennessee's disorderly conduct law, penalties, related charges, defenses, and how to keep it off your record. Call (901) 324-5000."
216,56,https://patrickbrookslaw.com/failure-to-maintain-proper-lookout/,Failure to Maintain a Proper Lookout,"Memphis traffic ticket defense for failure to maintain a proper lookout (failure to exercise due care, T.C.A. 55-8-136). Brooks Law Firm contests citations and tries these cases in Shelby County. Call (901) 412-2973."
212,52,https://patrickbrookslaw.com/file-order-of-protection/,Filing an Order of Protection in Memphis | Protect Yourself & Your Family | Brooks Law Firm,"Need an order of protection in Memphis or Shelby County? Brooks Law Firm helps victims of domestic abuse, stalking, and harassment file and win protection hearings. No filing fee for victims. Call (901) 324-5000."
210,50,https://patrickbrookslaw.com/misdemeanors/,"Misdemeanor Charges, Sentencing & Consequences in Tennessee","Tennessee Class A, B, and C misdemeanor sentencing ranges, probation length, the percentage-to-serve rule, diversion, expungement, and consequences, explained by Brooks Law Firm in Memphis. Call (901) 324-5000."
208,48,https://patrickbrookslaw.com/veterans-criminal-defense/,Criminal Defense for Military Veterans in Tennessee,Charged with a crime and you served? Patrick Brooks was the public defender for the entire Shelby County Veterans Treatment Court docket. Treatment instead of conviction may be available. Call (901) 324-5000.
205,45,https://patrickbrookslaw.com/oakland-rossville-piperton-criminal-defense/,"Arrested or Charged in Oakland, Rossville, or Piperton? Here's Where Your Case Actually Goes","Arrested in Oakland, Rossville, or Piperton? Criminal charges go to Fayette County General Sessions in Somerville. Brooks Law Firm defends DUI, drug, domestic assault & theft charges there. (901) 324-5000."
204,44,https://patrickbrookslaw.com/beer-and-liquor-board-penalties/,"Beer Board & Liquor License Civil Penalties: Outcomes, Defenses, and Appeals","Tennessee beer board and ABC civil penalties, suspension and revocation outcomes, responsible-vendor protections, defenses, and appeal rights by certiorari and trial de novo. Memphis. Call (901) 324-5000."
